timestamp,home,pts_home,away,pts_away,tv,notes
2014-08-27 19:00:00,Abilene Christian,37,Georgia State,38,ESPN U,
2014-08-28 19:00:00,Howard,0,Akron,41,ESPN3.com,
2014-08-28 22:30:00,Weber State,14,Arizona State,45,Pac-12 Network,
2014-08-28 19:00:00,Chattanooga,16,Central Michigan,20,ESPN3.com,
2014-08-28 19:02:00,Wake Forest,10,Louisiana-Monroe,17,ESPN U,
2014-08-28 19:00:00,Eastern Illinois,20,Minnesota,42,Big Ten Network,
2014-08-28 20:00:00,Boise State,13,Mississippi,35,ESPN,"Georgia Dome - Atlanta, GA"
2014-08-28 20:00:00,Cal Poly,10,New Mexico State,28,ESPN3.com,
2014-08-28 19:00:00,Presbyterian,3,Northern Illinois,55,ESPN3.com,
2014-08-28 22:00:00,Washington State,38,Rutgers,41,FS1,"CenturyLink Field - Seattle, WA"
2014-08-28 22:00:00,North Dakota,10,San Jose State,42,ESPN3.com,
2014-08-28 22:50:00,Temple,37,Vanderbilt,7,SEC Network,
2014-08-28 18:00:00,Texas A&M,52,South Carolina,28,SEC Network,
2014-08-28 20:00:00,Tulane,31,Tulsa,38,CBSSN,
2014-08-28 19:30:00,Idaho State,14,Utah,56,Pac-12 Network,
2014-08-29 22:30:00,Nevada-Las Vegas,13,Arizona,58,ESPN,
2014-08-29 19:00:00,Brigham Young,35,Connecticut,10,ESPN,
2014-08-29 21:00:00,Colorado,17,Colorado State,31,FS1,"Sports Authority Field at Mile High Stadium - Denver, CO"
2014-08-29 19:30:00,Jacksonville State,7,Michigan State,45,Big Ten Network,
2014-08-29 19:30:00,Villanova,26,Syracuse,27,ESPN3.com,
2014-08-29 21:00:00,Texas-San Antonio,27,Houston,7,ESPN U,
2014-08-29 19:30:00,Bowling Green State,31,Western Kentucky,59,CBSSN,
2014-08-30 14:00:00,Nicholls State,16,Air Force,44,ESPN3.com,
2014-08-30 15:30:00,West Virginia,23,Alabama,33,ESPN 2,"Georgia Dome - Atlanta, GA"
2014-08-30 12:00:00,Troy,10,Alabama-Birmingham,48,FCS,
2014-08-30 19:00:00,Montana State,10,Arkansas State,37,ESPN3.com,
2014-08-30 16:00:00,Arkansas,21,Auburn,45,SEC Network,
2014-08-30 14:00:00,Colgate,10,Ball State,30,ESPN3.com,
2014-08-30 19:00:00,Bethune-Cookman,14,Florida International,12,American Sports Net,
2014-08-30 15:00:00,Massachusetts,7,Boston College,30,ESPN3.com,"Gillette Stadium - Foxborough, MA"
2014-08-30 15:30:00,Duquesne,28,Buffalo,38,ESPN3.com,
2014-08-30 15:30:00,California,31,Northwestern,24,ABC (ESPN 2 mirror),
2014-08-30 18:00:00,Elon,13,Duke,52,ESPN3.com,
2014-08-30 20:00:00,North Carolina Central,7,East Carolina,52,ESPNews,
2014-08-30 18:00:00,Morgan State,28,Eastern Michigan,31,ESPN3.com,
2014-08-30 20:00:00,Oklahoma State,31,Florida State,37,ABC,"AT&T Stadium - Arlington, TX"
2014-08-30 17:30:00,Clemson,21,Georgia,45,ESPN,
2014-08-30 12:30:00,Wofford,19,Georgia Tech,38,"RSN, ESPN3.com",
2014-08-30 12:00:00,Youngstown State,17,Illinois,28,Big Ten Network,
2014-08-30 12:00:00,Indiana State,10,Indiana,28,ESPNews,
2014-08-30 12:00:00,Northern Iowa,23,Iowa,31,Big Ten Network,
2014-08-30 19:10:00,Stephen F. Austin,16,Kansas State,55,K-StateHD.tv,
2014-08-30 12:00:00,Tennessee-Martin,14,Kentucky,59,SEC Network,
2014-08-30 21:15:00,Wisconsin,24,Louisiana State,28,ESPN,"NRG Stadium - Houston, TX"
2014-08-30 19:00:00,Southern,6,Louisiana-Lafayette,45,ESPN3.com,
2014-08-30 15:30:00,Marshall,42,Miami (OH),27,ESPN3.com,
2014-08-30 15:30:00,James Madison,7,Maryland,52,Big Ten Network,
2014-08-30 19:00:00,Austin Peay,0,Memphis,63,ESPN3.com,
