timestamp,home,pts_home,away,pts_away,tv,notes
2014-08-30 12:00:00,Appalachian State,14,Michigan,52,ESPN 2,
2014-08-30 19:00:00,Savannah State,7,Middle Tennessee State,61,,
2014-08-30 19:30:00,Southern Mississippi,0,Mississippi State,49,SEC Network,
2014-08-30 15:30:00,South Dakota State,18,Missouri,38,ESPN U,
2014-08-30 15:30:00,Florida Atlantic,7,Nebraska,55,Big Ten Network,
2014-08-30 15:00:00,Southern Utah,19,Nevada,28,,
2014-08-30 18:00:00,Liberty,29,North Carolina,56,ESPN3.com,
2014-08-30 12:30:00,Georgia Southern,23,North Carolina State,24,"ACC Network, ESPN3.com",
2014-08-30 12:00:00,North Dakota State,34,Iowa State,14,FS1,
2014-08-30 15:30:00,Rice,17,Notre Dame,48,NBC,
2014-08-30 18:00:00,Ohio,17,Kent State,14,ESPN3.com,
2014-08-30 12:00:00,Navy,17,Ohio State,34,CBSSN,"M&T Bank Stadium - Baltimore, MD"
2014-08-30 19:00:00,Louisiana Tech,16,Oklahoma,48,FSN-OK (PPV),
2014-08-30 15:30:00,Hampton,28,Old Dominion,41,American Sports Network,
2014-08-30 22:30:00,South Dakota,13,Oregon,62,Pac-12 Network,
2014-08-30 16:00:00,Portland State,14,Oregon State,29,Pac-12 Network,
2014-08-30 08:30:00,Central Florida,24,Penn State,26,ESPN 2,"Croke Park Stadium - Dublin, Ireland"
2014-08-30 12:00:00,Delaware,0,Pittsburgh,62,ESPN3.com,
2014-08-30 12:00:00,Western Michigan,34,Purdue,43,ESPN U,
2014-08-30 19:00:00,Northern Arizona,7,San Diego State,38,CBSSN,
2014-08-30 19:00:00,Western Carolina,31,South Florida,36,ESPN3.com,
2014-08-30 19:30:00,Fresno State,13,Southern California,52,FOX,
2014-08-30 16:00:00,California-Davis,0,Stanford,45,Pac-12 Network,
2014-08-30 20:00:00,North Texas,7,Texas,38,Longhorn Network,
2014-08-30 19:00:00,Samford,14,Texas Christian,48,FSN,
2014-08-30 19:00:00,Arkansas-Pine Bluff,0,Texas State,65,ESPN3.com,
2014-08-30 19:00:00,Central Arkansas,35,Texas Tech,42,FSN,
2014-08-30 20:00:00,Texas-El Paso,31,New Mexico,24,Mountain West Network,
2014-08-30 19:00:00,New Hampshire,20,Toledo,54,ESPN3.com,
2014-08-30 12:00:00,UCLA,28,Virginia,20,ESPN,
2014-08-30 16:00:00,William & Mary,9,Virginia Tech,34,ESPNews,
2014-08-30 22:30:00,Washington,17,Hawaii,16,CBSSN,
2014-08-30 16:00:00,Montana,12,Wyoming,17,ROOT Sports,
2014-08-31 19:30:00,Southern Methodist,0,Baylor,45,FS1,
2014-08-31 19:00:00,Utah State,7,Tennessee,38,SEC Network,
2014-09-01 20:00:00,Miami (FL),13,Louisville,31,ESPN,
2014-09-04 20:00:00,Arizona,26,Texas-San Antonio,23,FS1,
2014-09-05 22:30:00,Washington State,13,Nevada,24,ESPN,
2014-09-05 19:00:00,Pittsburgh,30,Boston College,20,ESPN,
2014-09-06 12:00:00,Florida Atlantic,0,Alabama,41,SEC Network,
2014-09-06 18:00:00,Campbell,0,Appalachian State,66,ESPN3.com,
2014-09-06 19:00:00,Arizona State,58,New Mexico,23,CBSSN,
2014-09-06 16:00:00,Nicholls State,7,Arkansas,73,SEC Network,
2014-09-06 12:00:00,Buffalo,39,Army,47,CBSSN,
2014-09-06 19:00:00,San Jose State,13,Auburn,59,ESPN 2,
2014-09-06 19:45:00,Northwestern State,6,Baylor,70,"FSN, MSG",
2014-09-06 22:15:00,Colorado State,24,Boise State,37,ESPN 2,
2014-09-06 15:30:00,Virginia Military Institute,7,Bowling Green State,48,ESPN3.com,
2014-09-06 19:30:00,Brigham Young,41,Texas,7,FS1,
2014-09-06 15:00:00,Sacramento State,14,California,55,Pac-12 Network,
2014-09-06 12:00:00,Central Michigan,38,Purdue,17,ESPNews,
2014-09-06 12:30:00,South Carolina State,7,Clemson,73,"ACC Network, ESPN3.com",
2014-09-06 15:00:00,Massachusetts,38,Colorado,41,ESPN3.com,"Gillette Stadium - Foxborough, MA"
2014-09-06 12:00:00,Stony Brook,16,Connecticut,19,SNY,
2014-09-06 19:00:00,Duke,34,Troy,17,ESPN3.com,
2014-09-06 15:30:00,Eastern Kentucky,17,Miami (OH),10,ESPN3.com,
2014-09-06 16:00:00,Eastern Michigan,0,Florida,65,SEC Network,
2014-09-06 18:00:00,Wagner,3,Florida International,34,,
2014-09-06 19:30:00,Citadel,12,Florida State,37,"RSN, ESPN3.com, MSG+",
2014-09-06 18:00:00,Savannah State,9,Georgia Southern,83,ESPN3.com,
2014-09-06 16:00:00,Georgia Tech,38,Tulane,21,ESPNews,
2014-09-06 20:00:00,Grambling State,0,Houston,47,ESPN3.com,
2014-09-06 12:00:00,Western Kentucky,34,Illinois,42,Big Ten Network,
2014-09-06 15:30:00,Ball State,13,Iowa,17,ESPN 2,
2014-09-06 19:00:00,Southeast Missouri State,28,Kansas,34,JTV,
2014-09-06 12:00:00,Kansas State,32,Iowa State,28,FS1,
2014-09-06 15:30:00,Ohio,3,Kentucky,20,ESPN U,
2014-09-06 19:30:00,Sam Houston State,0,Louisiana State,56,SEC Network,
2014-09-06 19:00:00,Louisiana Tech,48,Louisiana-Lafayette,20,ESPN3.com,
2014-09-06 19:00:00,Idaho,31,Louisiana-Monroe,38,ESPN3.com,
2014-09-06 19:00:00,Murray State,21,Louisville,66,ESPN3.com,
2014-09-06 19:30:00,Rhode Island,7,Marshall,48,WCHS,
2014-09-06 15:30:00,Maryland,24,South Florida,17,CBSSN,
2014-09-06 19:00:00,Florida A&M,7,Miami (FL),41,ESPN3.com,
2014-09-06 15:30:00,Middle Tennessee State,24,Minnesota,35,Big Ten Network,
2014-09-06 16:30:00,Vanderbilt,3,Mississippi,41,ESPN,"LP Field - Nashville, TN"
2014-09-06 14:00:00,Alabama-Birmingham,34,Mississippi State,47,FSN,
2014-09-06 12:00:00,Missouri,49,Toledo,24,ESPN,
2014-09-06 13:00:00,Navy,31,Temple,24,ESPN3.com,
2014-09-06 12:00:00,McNeese State,24,Nebraska,31,ESPN U,
2014-09-06 22:00:00,Northern Colorado,12,Nevada-Las Vegas,13,,
2014-09-06 14:00:00,New Mexico State,34,Georgia State,31,ESPN3.com,
2014-09-06 20:00:00,San Diego State,27,North Carolina,31,ESPNews,
2014-09-06 18:00:00,Old Dominion,34,North Carolina State,46,ESPN3.com,
2014-09-06 12:00:00,Southern Methodist,6,North Texas,43,"FSN, MSG+",
2014-09-06 15:30:00,Northern Illinois,23,Northwestern,15,Big Ten Network,
2014-09-06 19:30:00,Michigan,0,Notre Dame,31,NBC,
2014-09-06 12:00:00,Oklahoma,52,Tulsa,7,ABC,
2014-09-06 15:30:00,Missouri State,23,Oklahoma State,40,"FSN, MSG+",
2014-09-06 18:30:00,Michigan State,27,Oregon,46,FOX,
2014-09-06 22:30:00,Oregon State,38,Hawaii,30,CBSSN,
2014-09-06 12:00:00,Akron,3,Penn State,21,ABC,
2014-09-06 12:00:00,Howard,25,Rutgers,38,Big Ten Network,
2014-09-06 14:00:00,South Alabama,23,Kent State,13,ESPN3.com,
2014-09-06 19:00:00,East Carolina,23,South Carolina,33,ESPN U,
2014-09-06 15:30:00,Southern California,13,Stanford,10,ABC,
2014-09-06 19:00:00,Alcorn State,20,Southern Mississippi,26,,
2014-09-06 12:00:00,Arkansas State,19,Tennessee,34,SEC Network,
2014-09-06 21:40:00,Lamar,3,Texas A&M,73,SEC Network,
2014-09-06 23:00:00,Texas Tech,30,Texas-El Paso,26,FS1,
2014-09-06 22:00:00,Memphis,35,UCLA,42,Pac-12 Network,
2014-09-06 15:00:00,Fresno State,27,Utah,59,Pac-12 Network,
2014-09-06 20:00:00,Idaho State,20,Utah State,40,Mountain West Network,
2014-09-06 15:30:00,Richmond,13,Virginia,45,ESPN3.com,
2014-09-06 20:00:00,Virginia Tech,35,Ohio State,21,ESPN,
2014-09-06 18:30:00,Gardner-Webb,7,Wake Forest,23,ESPN3.com,
2014-09-06 15:00:00,Eastern Washington,52,Washington,59,Pac-12 Network,
2014-09-06 19:30:00,Towson,0,West Virginia,54,ROOT-PIT,
2014-09-06 12:00:00,Western Illinois,3,Wisconsin,37,Big Ten Network,
2014-09-06 22:15:00,Air Force,13,Wyoming,17,ESPN U,
2014-09-11 21:00:00,Houston,25,Brigham Young,33,ESPN,
2014-09-11 20:00:00,Louisiana Tech,42,North Texas,21,CBSSN,
2014-09-12 20:00:00,Baylor,63,Buffalo,21,ESPN,
2014-09-12 19:00:00,Toledo,34,Cincinnati,58,ESPN U,
2014-09-13 19:00:00,Abilene Christian,38,Troy,35,ESPN3.com,
2014-09-13 14:00:00,Air Force,48,Georgia State,38,ESPN3.com,
2014-09-13 18:00:00,Southern Mississippi,12,Alabama,52,ESPN 2,
2014-09-13 15:30:00,Alabama A&M,14,Alabama-Birmingham,41,American Sports Network,
2014-09-13 23:00:00,Nevada,28,Arizona,35,Pac-12 Network,
2014-09-13 22:00:00,Arizona State,38,Colorado,24,ESPN U,
2014-09-13 15:30:00,Arkansas,49,Texas Tech,28,ABC,
2014-09-13 12:00:00,Boise State,38,Connecticut,21,ESPN 2,
2014-09-13 20:00:00,Southern California,31,Boston College,37,ESPN,
2014-09-13 12:00:00,Indiana,42,Bowling Green State,45,ESPN U,
2014-09-13 15:00:00,California-Davis,21,Colorado State,49,FS1,
2014-09-13 15:30:00,Kansas,3,Duke,41,RSN,
2014-09-13 12:00:00,East Carolina,28,Virginia Tech,21,ESPN,
2014-09-13 19:30:00,Kentucky,30,Florida,36,SEC Network,
2014-09-13 19:00:00,Tulsa,21,Florida Atlantic,50,FCS,
2014-09-13 12:00:00,Georgia Southern,38,Georgia Tech,42,"RSN, ESPN3.com",
2014-09-13 23:59:00,Northern Iowa,24,Hawaii,27,Oceanic Pay-per-view,
2014-09-13 15:00:00,Indiana State,27,Ball State,20,ESPN3.com,
2014-09-13 15:30:00,Iowa State,20,Iowa,17,ESPN,
2014-09-13 19:00:00,Louisiana-Monroe,0,Louisiana State,31,ESPN U,
2014-09-13 12:00:00,Ohio,14,Marshall,44,CBSSN,
2014-09-13 15:30:00,Arkansas State,20,Miami (FL),41,ESPN U,
2014-09-13 15:30:00,Miami (OH),10,Michigan,34,Big Ten Network,
2014-09-13 19:00:00,Western Kentucky,47,Middle Tennessee State,50,MyTV30,
2014-09-13 16:00:00,Louisiana-Lafayette,15,Mississippi,56,SEC Network,
2014-09-13 16:00:00,Mississippi State,35,South Alabama,3,ESPNews,
2014-09-13 12:00:00,Central Florida,10,Missouri,38,SEC Network,
2014-09-13 20:00:00,Navy,35,Texas State,21,ESPNews,
2014-09-13 22:30:00,Nebraska,55,Fresno State,19,CBSSN,
2014-09-13 15:30:00,North Carolina State,49,South Florida,17,CBSSN,
2014-09-13 19:00:00,Northern Illinois,48,Nevada-Las Vegas,34,Mountain West Network,
2014-09-13 19:30:00,Purdue,14,Notre Dame,30,NBC,"Lucas Oil Stadium - Indianapolis, IN"
2014-09-13 12:00:00,Kent State,0,Ohio State,66,ABC (ESPN 2 mirror),
2014-09-13 20:00:00,Tennessee,10,Oklahoma,34,ABC,
2014-09-13 19:00:00,Texas-San Antonio,13,Oklahoma State,43,FSN,
2014-09-13 18:00:00,Eastern Michigan,3,Old Dominion,17,Cox 110,
2014-09-13 14:00:00,Wyoming,14,Oregon,48,Pac-12 Network,
2014-09-13 20:00:00,Penn State,13,Rutgers,10,Big Ten Network,
2014-09-13 12:00:00,Pittsburgh,42,Florida International,25,FS1,
2014-09-13 15:30:00,Georgia,35,South Carolina,38,CBS,
2014-09-13 17:00:00,Army,0,Stanford,35,Pac-12 Network,
2014-09-13 12:00:00,Syracuse,40,Central Michigan,3,ESPNews,
2014-09-13 21:00:00,Rice,10,Texas A&M,38,ESPN 2,
2014-09-13 16:00:00,Minnesota,7,Texas Christian,30,FS1,
2014-09-13 20:00:00,New Mexico State,24,Texas-El Paso,42,Sinclair,
2014-09-13 20:00:00,Southeastern Louisiana,20,Tulane,35,ESPN3.com,
2014-09-13 20:00:00,Texas,17,UCLA,20,FOX,"AT&T Stadium - Arlington, TX"
2014-09-13 19:00:00,Wake Forest,24,Utah State,36,CBSSN,
2014-09-13 12:00:00,Massachusetts,31,Vanderbilt,34,FSN,
2014-09-13 12:30:00,Louisville,21,Virginia,23,"ACC Network, ESPN3.com",
2014-09-13 16:00:00,Illinois,19,Washington,44,FOX,
2014-09-13 20:00:00,Portland State,21,Washington State,59,Pac-12 Network,
2014-09-13 12:00:00,West Virginia,40,Maryland,37,Big Ten Network,
2014-09-13 17:00:00,Western Michigan,45,Idaho,33,ESPN3.com,
2014-09-18 19:30:00,Auburn,20,Kansas State,14,ESPN,
2014-09-19 20:00:00,Connecticut,14,South Florida,17,ESPN,
2014-09-20 15:30:00,Florida,21,Alabama,42,CBS,
2014-09-20 22:00:00,California,45,Arizona,49,Pac-12 Network,
2014-09-20 19:00:00,Northern Illinois,14,Arkansas,52,ESPN U,
2014-09-20 19:00:00,Utah State,14,Arkansas State,21,ESPN3.com,
2014-09-20 22:40:00,Louisiana-Lafayette,9,Boise State,34,CBSSN,
2014-09-20 13:00:00,Maine,10,Boston College,40,ESPN3.com,
2014-09-20 15:30:00,Virginia,33,Brigham Young,41,ESPN,
2014-09-20 15:30:00,Norfolk State,7,Buffalo,36,ESPN3.com,
2014-09-20 18:00:00,Bethune-Cookman,7,Central Florida,41,ESPN3.com,
2014-09-20 19:00:00,Miami (OH),24,Cincinnati,31,CBSSN,"Paul Brown Stadium - Cincinnati, OH"
2014-09-20 14:00:00,Hawaii,12,Colorado,21,Pac-12 Network,
2014-09-20 12:30:00,Tulane,13,Duke,47,"RSN, MSG, ROOT-PIT, STO",
2014-09-20 15:30:00,North Carolina,41,East Carolina,70,ESPN U,
2014-09-20 20:25:00,Clemson,17,Florida State,23,ABC,
2014-09-20 22:00:00,Southern Utah,16,Fresno State,56,Mountain West Network,
2014-09-20 12:00:00,Troy,0,Georgia,66,SEC Network,
2014-09-20 19:30:00,Georgia Southern,28,South Alabama,6,ESPN3.com,
2014-09-20 12:00:00,Georgia Tech,27,Virginia Tech,24,ESPN,
2014-09-20 20:00:00,Nevada-Las Vegas,14,Houston,47,ESPN3.com,
2014-09-20 16:00:00,Texas State,35,Illinois,42,ESPNews,
2014-09-20 16:00:00,Indiana,31,Missouri,27,SEC Network,
2014-09-20 12:00:00,Iowa,24,Pittsburgh,20,ESPN U,
2014-09-20 15:30:00,Central Michigan,10,Kansas,24,"FSN, MSG+, SunSports",
2014-09-20 15:30:00,Louisville,34,Florida International,3,FS1,
2014-09-20 14:00:00,Marshall,48,Akron,17,ESPN3.com,
2014-09-20 12:30:00,Maryland,34,Syracuse,20,ACC Network,
2014-09-20 19:00:00,Middle Tennessee State,17,Memphis,36,ESPN3.com,
2014-09-20 12:00:00,Eastern Michigan,14,Michigan State,73,Big Ten Network,
2014-09-20 16:00:00,San Jose State,7,Minnesota,24,Big Ten Network,
2014-09-20 19:00:00,Mississippi State,34,Louisiana State,29,ESPN,
2014-09-20 20:00:00,Miami (FL),31,Nebraska,41,ESPN 2,
2014-09-20 20:00:00,New Mexico,38,New Mexico State,35,"AggieVision, ESPN3.com",
2014-09-20 18:00:00,Presbyterian,0,North Carolina State,42,ESPN3.com,
2014-09-20 15:30:00,Nicholls State,3,North Texas,77,Sinclair,
2014-09-20 12:00:00,Western Illinois,7,Northwestern,24,ESPNews,
2014-09-20 19:00:00,Northwestern State,30,Louisiana Tech,27,,
2014-09-20 19:00:00,Idaho,24,Ohio,36,ESPN3.com,
2014-09-20 19:30:00,Oklahoma,45,West Virginia,33,FOX,
2014-09-20 12:00:00,Old Dominion,45,Rice,42,"FSN, MSG+, ROOT-RM",
2014-09-20 22:36:00,Oregon,38,Washington State,31,ESPN,
2014-09-20 22:30:00,San Diego State,7,Oregon State,28,FS1,
2014-09-20 16:00:00,Massachusetts,7,Penn State,48,Big Ten Network,
2014-09-20 12:00:00,Southern Illinois,13,Purdue,35,Big Ten Network,
2014-09-20 15:30:00,Rutgers,31,Navy,24,CBSSN,
2014-09-20 19:30:00,South Carolina,48,Vanderbilt,34,SEC Network,
2014-09-20 19:00:00,Appalachian State,20,Southern Mississippi,21,American Sports Network,
2014-09-20 13:00:00,Delaware State,0,Temple,59,ESPN3.com,
2014-09-20 15:30:00,Texas A&M,58,Southern Methodist,6,ABC (ESPN 2 mirror),
2014-09-20 19:00:00,Ball State,23,Toledo,34,ESPN3.com,
2014-09-20 15:30:00,Utah,26,Michigan,10,ABC (ESPN 2 mirror),
2014-09-20 15:30:00,Army,21,Wake Forest,24,ESPN3.com,
2014-09-20 18:00:00,Georgia State,14,Washington,45,Pac-12 Network,
2014-09-20 19:00:00,Murray State,14,Western Michigan,45,ESPN3.com,
2014-09-20 12:00:00,Bowling Green State,17,Wisconsin,68,ESPN 2,
2014-09-20 16:00:00,Florida Atlantic,19,Wyoming,20,Mountain West Network,
2014-09-25 19:30:00,Appalachian State,14,Georgia Southern,34,ESPN U,
2014-09-25 19:30:00,Texas Tech,35,Oklahoma State,45,ESPN,
2014-09-25 22:00:00,UCLA,62,Arizona State,27,FS1,
2014-09-26 20:00:00,Fresno State,35,New Mexico,24,ESPN 2,
2014-09-26 20:00:00,Middle Tennessee State,41,Old Dominion,28,FS1,
2014-09-27 19:00:00,Boise State,14,Air Force,28,CBSSN,
2014-09-27 13:30:00,Akron,21,Pittsburgh,10,ESPN3.com,
2014-09-27 16:00:00,Louisiana Tech,17,Auburn,45,SEC Network,
2014-09-27 20:00:00,Baylor,49,Iowa State,28,FOX,
2014-09-27 15:00:00,Bowling Green State,47,Massachusetts,42,ESPN3.com,
2014-09-27 15:30:00,Miami (OH),27,Buffalo,35,ESPN3.com,
2014-09-27 16:00:00,Colorado,56,California,59,Pac-12 Network,
2014-09-27 19:00:00,North Carolina,35,Clemson,50,ESPN U,
2014-09-27 12:30:00,Colorado State,24,Boston College,21,"RSN, MSG, NESN, ROOT-PIT",
2014-09-27 17:00:00,Texas-San Antonio,37,Florida Atlantic,41,Sinclair Network,
2014-09-27 15:30:00,Florida International,34,Alabama-Birmingham,20,"ASN, CSN-BAY, CAL",
2014-09-27 15:30:00,Florida State,56,North Carolina State,41,ABC (ESPN 2 mirror),
2014-09-27 12:00:00,Tennessee,32,Georgia,35,ESPN,
2014-09-27 12:00:00,Iowa,24,Purdue,10,Big Ten Network,
2014-09-27 12:00:00,Texas-El Paso,28,Kansas State,58,"FSN, MSG+, MASN2, SSO",
2014-09-27 12:00:00,Vanderbilt,7,Kentucky,17,SEC Network,
2014-09-27 19:30:00,New Mexico State,7,Louisiana State,63,SEC Network,
2014-09-27 19:00:00,Troy,20,Louisiana-Monroe,22,ESPN3.com,
2014-09-27 15:30:00,Wake Forest,10,Louisville,20,ESPN U,
2014-09-27 13:30:00,Maryland,37,Indiana,15,Big Ten Network,
2014-09-27 19:30:00,Duke,10,Miami (FL),22,ESPN 2,
2014-09-27 12:00:00,Wyoming,14,Michigan State,56,ESPN 2,
2014-09-27 15:30:00,Minnesota,30,Michigan,14,ABC,
2014-09-27 19:30:00,Memphis,3,Mississippi,24,"FSN-FL, OH, DET, MW, SD",
2014-09-27 19:00:00,Missouri,21,South Carolina,20,ESPN,
2014-09-27 21:00:00,Illinois,14,Nebraska,45,Big Ten Network,
2014-09-27 22:30:00,Nevada,21,San Jose State,10,CBSSN,
2014-09-27 12:00:00,Northwestern,29,Penn State,6,Big Ten Network,
2014-09-27 20:00:00,Syracuse,15,Notre Dame,31,ABC,"MetLife Stadium - East Rutherford, NJ"
2014-09-27 14:00:00,Eastern Illinois,19,Ohio,34,ESPN3.com,
2014-09-27 18:00:00,Cincinnati,28,Ohio State,50,Big Ten Network,
2014-09-27 19:00:00,Rice,41,Southern Mississippi,23,FCS,
2014-09-27 12:00:00,Tulane,6,Rutgers,31,ESPNews,
2014-09-27 20:00:00,Nevada-Las Vegas,17,San Diego State,34,ESPN3.com,
2014-09-27 17:00:00,South Alabama,34,Idaho,10,ESPN3.com,
2014-09-27 22:30:00,Oregon State,10,Southern California,35,ESPN,
2014-09-27 16:15:00,Stanford,20,Washington,13,FOX,
2014-09-27 16:00:00,Temple,36,Connecticut,10,ESPNews,
2014-09-27 16:00:00,Texas,23,Kansas,0,FS1,
2014-09-27 15:30:00,Arkansas,28,Texas A&M,35,CBS,"AT&T Stadium - Arlington, TX"
2014-09-27 12:00:00,Texas Christian,56,Southern Methodist,0,CBSSN,
2014-09-27 20:00:00,Texas State,37,Tulsa,34,ESPNews,
2014-09-27 19:00:00,Central Michigan,28,Toledo,42,ESPN3.com,
2014-09-27 15:30:00,Kent State,13,Virginia,45,ESPN3.com,
2014-09-27 12:30:00,Western Michigan,17,Virginia Tech,35,ACC Network,
2014-09-27 20:00:00,Washington State,28,Utah,27,Pac-12 Network,
2014-09-27 15:30:00,Western Kentucky,36,Navy,27,CBSSN,
2014-09-27 12:00:00,South Florida,10,Wisconsin,27,ESPN U,
2014-09-27 13:00:00,Army,43,Yale,49,FCS-Atlantic,
2014-10-02 22:30:00,Arizona,31,Oregon,24,ESPN,
2014-10-02 19:00:00,Central Florida,17,Houston,12,ESPN,
2014-10-02 19:00:00,Florida Atlantic,10,Florida International,38,FSN,
2014-10-03 22:00:00,San Diego State,13,Fresno State,24,CBSSN,
2014-10-03 19:00:00,Louisville,28,Syracuse,6,ESPN,
2014-10-03 22:26:00,Utah State,35,Brigham Young,20,ESPN,
2014-10-04 15:30:00,Navy,21,Air Force,30,CBSSN,
2014-10-04 14:00:00,Eastern Michigan,6,Akron,31,ESPN3.com,
2014-10-04 19:00:00,Alabama-Birmingham,42,Western Kentucky,39,C-USA Digital Network,
2014-10-04 19:30:00,Arizona State,38,Southern California,34,FOX,
2014-10-04 19:00:00,Louisiana-Monroe,14,Arkansas State,28,ESPN3.com,
2014-10-04 12:00:00,Ball State,24,Army,33,CBSSN,
2014-10-04 19:00:00,Louisiana State,7,Auburn,41,ESPN,
2014-10-04 15:30:00,Baylor,28,Texas,7,ABC,
2014-10-04 22:30:00,Boise State,51,Nevada,46,CBSSN,
2014-10-04 15:30:00,Buffalo,35,Bowling Green State,36,"ESPN Game Plan, ESPN3.com",
2014-10-04 22:30:00,California,60,Washington State,59,Pac-12 Network,
2014-10-04 15:30:00,Ohio,10,Central Michigan,28,ESPN3.com,
2014-10-04 15:30:00,North Carolina State,0,Clemson,41,ESPN U,
2014-10-04 15:00:00,Tulsa,17,Colorado State,42,Mountain West Network,
2014-10-04 12:00:00,Southern Methodist,24,East Carolina,45,ESPN U,
2014-10-04 12:00:00,Florida,10,Tennessee,9,SEC Network,
2014-10-04 15:30:00,Wake Forest,3,Florida State,43,ABC Regional,
2014-10-04 16:00:00,Vanderbilt,17,Georgia,44,SEC Network,
2014-10-04 20:00:00,Georgia Southern,36,New Mexico State,28,"FSN-SW, AZ+, ESPN3.com",
2014-10-04 19:30:00,Miami (FL),17,Georgia Tech,28,ESPN 2,
2014-10-04 14:30:00,North Texas,24,Indiana,49,Big Ten Network,
2014-10-04 19:00:00,Texas Tech,13,Kansas State,45,ESPN U,
2014-10-04 19:30:00,South Carolina,38,Kentucky,45,SEC Network,
2014-10-04 19:00:00,Texas-El Paso,3,Louisiana Tech,55,FCS,
2014-10-04 19:00:00,Georgia State,31,Louisiana-Lafayette,34,ESPN3.com,
2014-10-04 12:00:00,Marshall,56,Old Dominion,14,"FSN, ROOT-NW, PIT, MSG+",
2014-10-04 19:00:00,Cincinnati,14,Memphis,41,CBSSN,"Paul Brown Stadium - Cincinnati, OH"
2014-10-04 14:30:00,Massachusetts,41,Miami (OH),42,ESPN3.com,
2014-10-04 20:00:00,Nebraska,22,Michigan State,27,ABC,
