timestamp,home,pts_home,away,pts_away,tv,notes
2013-09-07 12:00:00,Bowling Green State,41.0,Kent State,22.0,,
2013-09-07 20:50:00,Texas,21.0,Brigham Young,40.0,,
2013-09-07 17:00:00,Portland State,30.0,California,37.0,,
2013-09-07 15:00:00,New Hampshire,21.0,Central Michigan,24.0,,
2013-09-07 14:00:00,Chattanooga,42.0,Georgia State,14.0,,
2013-09-07 12:30:00,South Carolina State,13.0,Clemson,52.0,,
2013-09-07 20:00:00,Central Arkansas,24.0,Colorado,38.0,,
2013-09-07 16:30:00,Duke,28.0,Memphis,14.0,,
2013-09-07 22:00:00,Cal Poly,25.0,Fresno State,41.0,,
2013-09-07 16:30:00,South Carolina,30.0,Georgia,41.0,,
2013-09-07 12:00:00,Houston,22.0,Temple,13.0,,
2013-09-07 12:00:00,Cincinnati,17.0,Illinois,45.0,,
2013-09-07 12:00:00,Missouri State,14.0,Iowa,28.0,,
2013-09-07 19:00:00,South Dakota,14.0,Kansas,31.0,,
2013-09-07 18:30:00,Louisiana-Lafayette,27.0,Kansas State,48.0,,
2013-09-07 12:00:00,Miami (OH),7.0,Kentucky,41.0,,
2013-09-07 19:00:00,Alabama-Birmingham,17.0,Louisiana State,56.0,,
2013-09-07 19:00:00,Lamar,14.0,Louisiana Tech,27.0,,
2013-09-07 19:00:00,Grambling State,10.0,Louisiana-Monroe,48.0,,
2013-09-07 12:00:00,Eastern Kentucky,7.0,Louisville,44.0,,
2013-09-07 14:00:00,Maine,24.0,Massachusetts,14.0,,
2013-09-07 18:30:00,Gardner-Webb,0.0,Marshall,55.0,,
2013-09-07 16:00:00,Old Dominion,10.0,Maryland,47.0,,
2013-09-07 12:00:00,Florida,16.0,Miami (FL),21.0,,
2013-09-07 20:00:00,Notre Dame,30.0,Michigan,41.0,,
2013-09-07 12:00:00,South Florida,6.0,Michigan State,21.0,,
2013-09-07 20:00:00,Minnesota,44.0,New Mexico State,21.0,,
2013-09-07 19:00:00,Southeast Missouri State,13.0,Mississippi,31.0,,
2013-09-07 15:30:00,Alcorn State,7.0,Mississippi State,51.0,,
2013-09-07 15:30:00,Toledo,23.0,Missouri,38.0,,
2013-09-07 18:00:00,Navy,41.0,Indiana,35.0,,
2013-09-07 18:00:00,Southern Mississippi,13.0,Nebraska,56.0,,
2013-09-07 21:05:00,California-Davis,7.0,Nevada,36.0,,
2013-09-07 20:00:00,New Mexico,42.0,Texas-El Paso,35.0,,
2013-09-07 19:00:00,Nicholls State,27.0,Western Michigan,23.0,,
2013-09-07 12:30:00,Middle Tennessee State,20.0,North Carolina,40.0,,
2013-09-07 18:00:00,Richmond,21.0,North Carolina State,23.0,,
2013-09-07 18:00:00,Syracuse,27.0,Northwestern,48.0,,
2013-09-07 19:00:00,North Texas,21.0,Ohio,27.0,,
2013-09-07 15:30:00,San Diego State,7.0,Ohio State,42.0,,
2013-09-07 19:00:00,West Virginia,7.0,Oklahoma,16.0,,
2013-09-07 12:00:00,Oklahoma State,56.0,Texas-San Antonio,35.0,,
2013-09-07 15:30:00,Oregon,59.0,Virginia,10.0,,
2013-09-07 20:00:00,Hawaii,14.0,Oregon State,33.0,,
2013-09-07 12:00:00,Eastern Michigan,7.0,Penn State,45.0,,
2013-09-07 12:00:00,Indiana State,14.0,Purdue,20.0,,
2013-09-07 12:00:00,Norfolk State,0.0,Rutgers,38.0,,
2013-09-07 15:30:00,South Alabama,41.0,Tulane,39.0,,
2013-09-07 20:00:00,Montana State,30.0,Southern Methodist,31.0,,
2013-09-07 23:00:00,San Jose State,13.0,Stanford,34.0,,
2013-09-07 12:21:00,Western Kentucky,20.0,Tennessee,52.0,,
2013-09-07 19:00:00,Sam Houston State,28.0,Texas A&M,65.0,,
2013-09-07 12:00:00,Southeastern Louisiana,17.0,Texas Christian,38.0,,
2013-09-07 19:00:00,Prairie View A&M,3.0,Texas State,28.0,,
2013-09-07 19:00:00,Stephen F. Austin,13.0,Texas Tech,61.0,,
2013-09-07 19:00:00,Savannah State,3.0,Troy,66.0,,
2013-09-07 19:00:00,Colorado State,27.0,Tulsa,30.0,,
2013-09-07 14:00:00,Weber State,7.0,Utah,70.0,,
2013-09-07 15:30:00,Utah State,52.0,Air Force,20.0,,
2013-09-07 19:30:00,Austin Peay,3.0,Vanderbilt,38.0,,
2013-09-07 13:30:00,Western Carolina,3.0,Virginia Tech,45.0,,
2013-09-07 22:30:00,Washington State,10.0,Southern California,7.0,,
2013-09-07 12:00:00,Tennessee Tech,0.0,Wisconsin,48.0,,
2013-09-07 16:00:00,Idaho,10.0,Wyoming,42.0,,
2013-09-12 19:30:00,Troy,34.0,Arkansas State,41.0,,
2013-09-12 19:30:00,Texas Christian,10.0,Texas Tech,20.0,,
2013-09-12 19:30:00,Tulane,24.0,Louisiana Tech,15.0,,
2013-09-13 20:00:00,Air Force,20.0,Boise State,42.0,,
2013-09-14 15:30:00,Alabama,49.0,Texas A&M,42.0,,
2013-09-14 22:30:00,Texas-San Antonio,13.0,Arizona,38.0,,
2013-09-14 22:30:00,Wisconsin,30.0,Arizona State,32.0,,
2013-09-14 12:21:00,Southern Mississippi,3.0,Arkansas,24.0,,
2013-09-14 19:00:00,Mississippi State,20.0,Auburn,24.0,,
2013-09-14 18:00:00,Bethune-Cookman,34.0,Florida International,13.0,,
2013-09-14 15:30:00,Stony Brook,23.0,Buffalo,26.0,,
2013-09-14 18:00:00,Central Florida,34.0,Penn State,31.0,,
2013-09-14 19:00:00,Northwestern State,9.0,Cincinnati,66.0,,
2013-09-14 15:30:00,Cal Poly,17.0,Colorado State,34.0,,
2013-09-14 19:00:00,Florida Atlantic,28.0,South Florida,10.0,,
2013-09-14 15:30:00,Nevada,7.0,Florida State,62.0,,
2013-09-14 13:00:00,Fordham,30.0,Temple,29.0,,
2013-09-14 14:00:00,Fresno State,,Colorado,,,Game Cancelled
2013-09-14 15:30:00,Georgia Tech,38.0,Duke,14.0,,
2013-09-14 12:00:00,Bowling Green State,10.0,Indiana,42.0,,
2013-09-14 18:00:00,Iowa,27.0,Iowa State,21.0,,
2013-09-14 19:00:00,Massachusetts,7.0,Kansas State,37.0,,
2013-09-14 19:00:00,Kent State,13.0,Louisiana State,45.0,,
2013-09-14 19:00:00,Nicholls State,7.0,Louisiana-Lafayette,70.0,,
2013-09-14 12:30:00,Louisiana-Monroe,21.0,Wake Forest,19.0,,
2013-09-14 12:00:00,Louisville,27.0,Kentucky,13.0,,
2013-09-14 19:30:00,Maryland,32.0,Connecticut,21.0,,
2013-09-14 12:00:00,Akron,24.0,Michigan,28.0,,
2013-09-14 14:00:00,Youngstown State,17.0,Michigan State,55.0,,
2013-09-14 19:00:00,Memphis,15.0,Middle Tennessee State,17.0,,
2013-09-14 12:00:00,Western Illinois,12.0,Minnesota,29.0,,
2013-09-14 20:00:00,Mississippi,44.0,Texas,23.0,,
2013-09-14 15:30:00,Delaware,7.0,Navy,51.0,,
2013-09-14 22:00:00,Central Michigan,21.0,Nevada-Las Vegas,31.0,,
2013-09-14 16:00:00,Ball State,27.0,North Texas,34.0,,
2013-09-14 17:00:00,Northern Illinois,45.0,Idaho,35.0,,
2013-09-14 21:00:00,Western Michigan,17.0,Northwestern,38.0,,
