Date,Away,AwayPoints,Home,HomePoints
2014-10-25 00:00:00,Central Michigan,20,Buffalo,14
2014-10-25 00:00:00,Syracuse,6,(21) Clemson,16
2014-10-25 00:00:00,Wyoming,31,Colorado State,45
2014-10-25 00:00:00,Georgia Southern,69,Georgia State,31
2014-10-25 00:00:00,Georgia Tech,56,Pittsburgh,28
2014-10-25 00:00:00,Minnesota,24,Illinois,28
2014-10-25 00:00:00,Texas,0,(11) Kansas State,23
2014-10-25 00:00:00,(3) Mississippi,7,(24) Louisiana State,10
2014-10-25 00:00:00,Louisiana Tech,31,Southern Mississippi,20
2014-10-25 00:00:00,Florida Atlantic,16,(23) Marshall,35
2014-10-25 00:00:00,Memphis,48,Southern Methodist,10
2014-10-25 00:00:00,Kent State,3,Miami (OH),10
2014-10-25 00:00:00,Michigan,11,(8) Michigan State,35
2014-10-25 00:00:00,(1) Mississippi State,45,Kentucky,31
2014-10-25 00:00:00,Vanderbilt,14,Missouri,24
2014-10-25 00:00:00,San Jose State,31,Navy,41
2014-10-25 00:00:00,Rutgers,24,(16) Nebraska,42
2014-10-25 00:00:00,Nevada,26,Hawaii,18
2014-10-25 00:00:00,North Carolina,28,Virginia,27
2014-10-25 00:00:00,Northern Illinois,28,Eastern Michigan,17
2014-10-25 00:00:00,(13) Ohio State,31,Penn State,24
2014-10-25 00:00:00,North Texas,21,Rice,41
2014-10-25 00:00:00,Oregon State,14,Stanford,38
2014-10-25 00:00:00,Texas Tech,27,(10) Texas Christian,82
2014-10-25 00:00:00,Texas State,22,Louisiana-Monroe,18
2014-10-25 00:00:00,Texas-El Paso,34,Texas-San Antonio,0
2014-10-25 00:00:00,Massachusetts,35,Toledo,42
2014-10-25 00:00:00,(25) UCLA,40,Colorado,37
2014-10-25 00:00:00,(20) Southern California,21,(19) Utah,24
2014-10-25 00:00:00,Nevada-Las Vegas,20,Utah State,34
2014-10-25 00:00:00,(22) West Virginia,34,Oklahoma State,10
2014-10-25 00:00:00,Old Dominion,51,Western Kentucky,66
2014-10-25 00:00:00,Ohio,21,Western Michigan,42
2014-10-25 00:00:00,Maryland,7,Wisconsin,52
2014-10-30 00:00:00,(2) Florida State,42,Louisville,31
2014-10-30 00:00:00,Troy,10,Georgia Southern,42
2014-10-31 00:00:00,Cincinnati,38,Tulane,14
2014-10-31 00:00:00,Tulsa,20,Memphis,40
2014-11-01 00:00:00,Air Force,23,Army,6
2014-11-01 00:00:00,Alabama-Birmingham,31,Florida Atlantic,28
2014-11-01 00:00:00,Georgia State,0,Appalachian State,44
2014-11-01 00:00:00,(18) Utah,16,(15) Arizona State,19
2014-11-01 00:00:00,Arkansas State,44,Idaho,28
2014-11-01 00:00:00,(4) Auburn,35,(7) Mississippi,31
2014-11-01 00:00:00,Kansas,14,(12) Baylor,60
2014-11-01 00:00:00,Boston College,33,Virginia Tech,31
2014-11-01 00:00:00,Brigham Young,27,Middle Tennessee State,7
2014-11-01 00:00:00,California,45,Oregon State,31
2014-11-01 00:00:00,Central Michigan,38,Eastern Michigan,7
2014-11-01 00:00:00,Colorado State,38,San Jose State,31
2014-11-01 00:00:00,Central Florida,29,Connecticut,37
2014-11-01 00:00:00,(24) Duke,51,Pittsburgh,48
2014-11-01 00:00:00,(9) Georgia,20,Florida,38
2014-11-01 00:00:00,Virginia,10,Georgia Tech,35
2014-11-01 00:00:00,Houston,27,South Florida,3
2014-11-01 00:00:00,Northwestern,7,Iowa,48
2014-11-01 00:00:00,Oklahoma State,14,(11) Kansas State,48
2014-11-01 00:00:00,Western Kentucky,10,Louisiana Tech,59
2014-11-01 00:00:00,South Alabama,9,Louisiana-Lafayette,19
2014-11-01 00:00:00,Maryland,20,Penn State,19
2014-11-01 00:00:00,North Carolina,20,Miami (FL),47
2014-11-01 00:00:00,Indiana,10,Michigan,34
2014-11-01 00:00:00,Arkansas,10,(1) Mississippi State,17
2014-11-01 00:00:00,Kentucky,10,Missouri,20
2014-11-01 00:00:00,Purdue,14,(17) Nebraska,35
2014-11-01 00:00:00,San Diego State,14,Nevada,30
2014-11-01 00:00:00,New Mexico,31,Nevada-Las Vegas,28
2014-11-01 00:00:00,North Carolina State,24,Syracuse,17
2014-11-01 00:00:00,Navy,39,(6) Notre Dame,49
2014-11-01 00:00:00,Illinois,14,(13) Ohio State,55
2014-11-01 00:00:00,(19) Oklahoma,59,Iowa State,14
2014-11-01 00:00:00,Stanford,16,(5) Oregon,45
2014-11-01 00:00:00,Rice,31,Florida International,17
2014-11-01 00:00:00,Southern California,44,Washington State,17
2014-11-01 00:00:00,(21) East Carolina,10,Temple,20
2014-11-01 00:00:00,Tennessee,45,South Carolina,42
2014-11-01 00:00:00,Texas,34,Texas Tech,13
2014-11-01 00:00:00,Louisiana-Monroe,16,Texas A&M,21
2014-11-01 00:00:00,(10) Texas Christian,31,(20) West Virginia,30
2014-11-01 00:00:00,Texas State,37,New Mexico State,29
2014-11-01 00:00:00,Southern Mississippi,14,Texas-El Paso,35
2014-11-01 00:00:00,(14) Arizona,7,(25) UCLA,17
2014-11-01 00:00:00,Utah State,35,Hawaii,14
2014-11-01 00:00:00,Old Dominion,28,Vanderbilt,42
2014-11-01 00:00:00,Washington,38,Colorado,23
2014-11-01 00:00:00,Western Michigan,41,Miami (OH),10
2014-11-01 00:00:00,Wisconsin,37,Rutgers,0
2014-11-01 00:00:00,Wyoming,45,Fresno State,17
2014-11-04 00:00:00,Bowling Green State,27,Akron,10
2014-11-04 00:00:00,Toledo,30,Kent State,20
2014-11-05 00:00:00,Northern Illinois,35,Ball State,21
2014-11-05 00:00:00,Buffalo,14,Ohio,37
2014-11-06 00:00:00,(19) Clemson,34,Wake Forest,20
2014-11-07 00:00:00,Memphis,16,Temple,13
2014-11-07 00:00:00,Utah State,20,Wyoming,3
2014-11-08 00:00:00,Air Force,48,Nevada-Las Vegas,21
2014-11-08 00:00:00,(4) Alabama,20,(14) Louisiana State,13
2014-11-08 00:00:00,Louisiana-Monroe,29,Appalachian State,31
2014-11-08 00:00:00,Colorado,20,(21) Arizona,38
2014-11-08 00:00:00,(8) Notre Dame,31,(11) Arizona State,55
2014-11-08 00:00:00,South Alabama,10,Arkansas State,45
2014-11-08 00:00:00,Connecticut,21,Army,35
2014-11-08 00:00:00,(10) Baylor,48,(16) Oklahoma,14
2014-11-08 00:00:00,Boise State,60,New Mexico,49
2014-11-08 00:00:00,Hawaii,22,Colorado State,49
2014-11-08 00:00:00,(22) Duke,27,Syracuse,10
2014-11-08 00:00:00,Florida,34,Vanderbilt,10
2014-11-08 00:00:00,Virginia,20,(2) Florida State,34
2014-11-08 00:00:00,San Jose State,24,Fresno State,38
2014-11-08 00:00:00,(17) Georgia,63,Kentucky,31
2014-11-08 00:00:00,Georgia Southern,28,Texas State,25
2014-11-08 00:00:00,Georgia Tech,56,North Carolina State,23
2014-11-08 00:00:00,Iowa State,14,Kansas,34
2014-11-08 00:00:00,Louisiana Tech,40,Alabama-Birmingham,24
2014-11-08 00:00:00,Louisiana-Lafayette,44,New Mexico State,16
2014-11-08 00:00:00,Louisville,38,Boston College,19
2014-11-08 00:00:00,(23) Marshall,63,Southern Mississippi,17
2014-11-08 00:00:00,Michigan,10,Northwestern,9
2014-11-08 00:00:00,Iowa,14,Minnesota,51
2014-11-08 00:00:00,Presbyterian,0,(12) Mississippi,48
2014-11-08 00:00:00,Tennessee-Martin,16,(1) Mississippi State,45
2014-11-08 00:00:00,Florida Atlantic,10,North Texas,31
2014-11-08 00:00:00,(13) Ohio State,49,(7) Michigan State,37
2014-11-08 00:00:00,Florida International,35,Old Dominion,38
2014-11-08 00:00:00,(5) Oregon,51,(20) Utah,27
2014-11-08 00:00:00,Penn State,13,Indiana,7
2014-11-08 00:00:00,Texas-San Antonio,7,Rice,17
2014-11-08 00:00:00,Idaho,21,San Diego State,35
2014-11-08 00:00:00,(24) West Virginia,16,Texas,33
2014-11-08 00:00:00,Texas A&M,41,(3) Auburn,38
2014-11-08 00:00:00,(9) Kansas State,20,(6) Texas Christian,41
2014-11-08 00:00:00,Georgia State,21,Troy,45
2014-11-08 00:00:00,Tulane,31,Houston,24
2014-11-08 00:00:00,Southern Methodist,28,Tulsa,38
2014-11-08 00:00:00,(18) UCLA,44,Washington,30
2014-11-08 00:00:00,Washington State,39,Oregon State,32
2014-11-08 00:00:00,Texas-El Paso,27,Western Kentucky,35
2014-11-08 00:00:00,(25) Wisconsin,34,Purdue,16
2014-11-11 00:00:00,Akron,24,Buffalo,55
2014-11-11 00:00:00,Toledo,24,Northern Illinois,27
2014-11-12 00:00:00,Kent State,20,Bowling Green State,30
2014-11-12 00:00:00,Ball State,10,Massachusetts,24
2014-11-13 00:00:00,East Carolina,46,Cincinnati,54
2014-11-13 00:00:00,California,30,Southern California,38
2014-11-13 00:00:00,Southern Mississippi,10,Texas-San Antonio,12
2014-11-14 00:00:00,Tulsa,7,Central Florida,31
2014-11-15 00:00:00,Nevada,38,Air Force,45
2014-11-15 00:00:00,(1) Mississippi State,20,(4) Alabama,25
2014-11-15 00:00:00,Appalachian State,37,Arkansas State,32
2014-11-15 00:00:00,Washington,26,(17) Arizona,27
2014-11-15 00:00:00,(20) Louisiana State,0,Arkansas,17
2014-11-15 00:00:00,San Diego State,29,Boise State,38
2014-11-15 00:00:00,Nevada-Las Vegas,23,Brigham Young,42
2014-11-15 00:00:00,Miami (OH),27,Central Michigan,34
2014-11-15 00:00:00,Middle Tennessee State,28,Florida International,38
2014-11-15 00:00:00,(2) Florida State,30,Miami (FL),26
2014-11-15 00:00:00,(9) Auburn,7,(16) Georgia,34
2014-11-15 00:00:00,(18) Clemson,6,(24) Georgia Tech,28
2014-11-15 00:00:00,Hawaii,13,San Jose State,0
2014-11-15 00:00:00,Iowa,30,Illinois,14
2014-11-15 00:00:00,Louisiana-Lafayette,34,Louisiana-Monroe,27
2014-11-15 00:00:00,Rice,14,(21) Marshall,41
2014-11-15 00:00:00,Memphis,38,Tulane,7
2014-11-15 00:00:00,(12) Michigan State,37,Maryland,15
2014-11-15 00:00:00,Missouri,34,Texas A&M,27
2014-11-15 00:00:00,Georgia Southern,19,Navy,52
2014-11-15 00:00:00,Pittsburgh,35,North Carolina,40
2014-11-15 00:00:00,Wake Forest,13,North Carolina State,42
2014-11-15 00:00:00,Northwestern,43,(15) Notre Dame,40
2014-11-15 00:00:00,(8) Ohio State,31,Minnesota,24
2014-11-15 00:00:00,Oklahoma,42,Texas Tech,30
2014-11-15 00:00:00,(7) Arizona State,27,Oregon State,35
2014-11-15 00:00:00,Temple,13,Penn State,30
2014-11-15 00:00:00,Indiana,23,Rutgers,45
2014-11-15 00:00:00,Texas State,20,South Alabama,24
2014-11-15 00:00:00,South Carolina,23,Florida,20
2014-11-15 00:00:00,South Florida,14,Southern Methodist,13
2014-11-15 00:00:00,Kentucky,16,Tennessee,50
2014-11-15 00:00:00,Texas,28,Oklahoma State,7
2014-11-15 00:00:00,(5) Texas Christian,34,Kansas,30
2014-11-15 00:00:00,North Texas,17,Texas-El Paso,35
2014-11-15 00:00:00,Troy,34,Idaho,17
2014-11-15 00:00:00,(25) Utah,20,Stanford,17
2014-11-15 00:00:00,New Mexico,21,Utah State,28
2014-11-15 00:00:00,Virginia Tech,17,(19) Duke,16
2014-11-15 00:00:00,Army,24,Western Kentucky,52
2014-11-15 00:00:00,Eastern Michigan,7,Western Michigan,51
2014-11-15 00:00:00,(11) Nebraska,24,(22) Wisconsin,59
2014-11-18 00:00:00,Massachusetts,6,Akron,30
2014-11-18 00:00:00,Northern Illinois,21,Ohio,14
2014-11-19 00:00:00,Bowling Green State,20,Toledo,27
2014-11-20 00:00:00,(12) Kansas State,26,West Virginia,20
2014-11-20 00:00:00,North Carolina,45,(25) Duke,20
2014-11-20 00:00:00,Arkansas State,27,Texas State,45
2014-11-21 00:00:00,Texas-El Paso,13,Rice,31
2014-11-21 00:00:00,Air Force,14,San Diego State,30
2014-11-21 00:00:00,San Jose State,7,Utah State,41
2014-11-22 00:00:00,Western Carolina,14,(2) Alabama,48
2014-11-22 00:00:00,Appalachian State,35,Louisiana-Lafayette,16
2014-11-22 00:00:00,(15) Arizona,42,(20) Utah,10
2014-11-22 00:00:00,Washington State,31,(13) Arizona State,52
2014-11-22 00:00:00,(8) Mississippi,0,Arkansas,30
2014-11-22 00:00:00,Fordham,31,Army,42
2014-11-22 00:00:00,Samford,7,(16) Auburn,31
2014-11-22 00:00:00,Eastern Michigan,30,Ball State,45
2014-11-22 00:00:00,Oklahoma State,28,(6) Baylor,49
2014-11-22 00:00:00,Boise State,63,Wyoming,14
2014-11-22 00:00:00,Savannah State,0,Brigham Young,64
2014-11-22 00:00:00,Southern Methodist,7,Central Florida,53
2014-11-22 00:00:00,Cincinnati,41,Connecticut,0
2014-11-22 00:00:00,Georgia State,0,Clemson,28
2014-11-22 00:00:00,New Mexico,20,(22) Colorado State,58
2014-11-22 00:00:00,Tulane,6,East Carolina,34
2014-11-22 00:00:00,Eastern Kentucky,3,Florida,52
2014-11-22 00:00:00,Boston College,17,(1) Florida State,20
2014-11-22 00:00:00,Fresno State,40,Nevada,20
2014-11-22 00:00:00,Charleston Southern,9,(9) Georgia,55
2014-11-22 00:00:00,Nevada-Las Vegas,35,Hawaii,37
2014-11-22 00:00:00,Tulsa,28,Houston,38
2014-11-22 00:00:00,Penn State,14,Illinois,16
2014-11-22 00:00:00,Louisiana-Monroe,30,New Mexico State,17
2014-11-22 00:00:00,Louisville,31,Notre Dame,28
2014-11-22 00:00:00,(18) Marshall,23,Alabama-Birmingham,18
2014-11-22 00:00:00,Maryland,23,Michigan,16
2014-11-22 00:00:00,South Florida,20,Memphis,31
2014-11-22 00:00:00,Rutgers,3,(10) Michigan State,45
2014-11-22 00:00:00,Florida Atlantic,34,Middle Tennessee State,35
2014-11-22 00:00:00,Minnesota,28,(21) Nebraska,24
2014-11-22 00:00:00,Vanderbilt,0,(4) Mississippi State,51
2014-11-22 00:00:00,(19) Missouri,29,Tennessee,21
2014-11-22 00:00:00,Florida International,14,North Texas,17
2014-11-22 00:00:00,Northwestern,38,Purdue,14
2014-11-22 00:00:00,Indiana,27,(7) Ohio State,42
2014-11-22 00:00:00,Kansas,7,(23) Oklahoma,44
2014-11-22 00:00:00,Louisiana Tech,27,Old Dominion,30
2014-11-22 00:00:00,Colorado,10,(3) Oregon,44
2014-11-22 00:00:00,Syracuse,7,Pittsburgh,30
2014-11-22 00:00:00,South Alabama,12,South Carolina,37
2014-11-22 00:00:00,Stanford,38,California,17
2014-11-22 00:00:00,Texas Tech,34,Iowa State,31
2014-11-22 00:00:00,(24) Southern California,20,(11) UCLA,38
2014-11-22 00:00:00,Miami (FL),13,Virginia,30
2014-11-22 00:00:00,Virginia Tech,3,Wake Forest,6
2014-11-22 00:00:00,Oregon State,13,Washington,37
2014-11-22 00:00:00,Texas-San Antonio,7,Western Kentucky,45
2014-11-22 00:00:00,Western Michigan,32,Central Michigan,20
2014-11-22 00:00:00,(14) Wisconsin,26,Iowa,24
2014-11-25 00:00:00,Ohio,24,Miami (OH),21
2014-11-27 00:00:00,Louisiana State,23,Texas A&M,17
2014-11-27 00:00:00,(6) Texas Christian,48,Texas,10
2014-11-28 00:00:00,(21) Colorado State,24,Air Force,27
2014-11-28 00:00:00,(13) Arizona State,35,(12) Arizona,42
2014-11-28 00:00:00,Ball State,41,Bowling Green State,24
2014-11-28 00:00:00,Buffalo,41,Massachusetts,21
2014-11-28 00:00:00,Central Florida,16,South Florida,0
2014-11-28 00:00:00,East Carolina,49,Tulsa,32
2014-11-28 00:00:00,Houston,35,Southern Methodist,9
2014-11-28 00:00:00,Akron,24,Kent State,27
2014-11-28 00:00:00,Arkansas,14,(17) Missouri,21
2014-11-28 00:00:00,Navy,42,South Alabama,40
2014-11-28 00:00:00,Nebraska,37,Iowa,34
2014-11-28 00:00:00,Northern Illinois,31,Western Michigan,21
2014-11-28 00:00:00,Stanford,31,(9) UCLA,10
2014-11-28 00:00:00,Toledo,52,Eastern Michigan,16
2014-11-28 00:00:00,Virginia,20,Virginia Tech,24
2014-11-28 00:00:00,Western Kentucky,67,(19) Marshall,66
2014-11-29 00:00:00,(15) Auburn,44,(2) Alabama,55
2014-11-29 00:00:00,Alabama-Birmingham,45,Southern Mississippi,24
2014-11-29 00:00:00,Idaho,28,Appalachian State,45
2014-11-29 00:00:00,New Mexico State,35,Arkansas State,68
2014-11-29 00:00:00,Texas Tech,46,(5) Baylor,48
2014-11-29 00:00:00,Utah State,19,(25) Boise State,50
2014-11-29 00:00:00,Syracuse,7,Boston College,28
2014-11-29 00:00:00,Brigham Young,42,California,35
2014-11-29 00:00:00,Cincinnati,14,Temple,6
2014-11-29 00:00:00,South Carolina,17,(23) Clemson,35
2014-11-29 00:00:00,Wake Forest,21,Duke,41
2014-11-29 00:00:00,Florida,19,(1) Florida State,24
2014-11-29 00:00:00,Hawaii,21,Fresno State,28
2014-11-29 00:00:00,Louisiana-Monroe,16,Georgia Southern,22
2014-11-29 00:00:00,(16) Georgia Tech,30,(8) Georgia,24
2014-11-29 00:00:00,Illinois,47,Northwestern,33
2014-11-29 00:00:00,Purdue,16,Indiana,23
2014-11-29 00:00:00,Kansas,13,(11) Kansas State,51
2014-11-29 00:00:00,Rice,31,Louisiana Tech,76
2014-11-29 00:00:00,Louisiana-Lafayette,42,Troy,23
2014-11-29 00:00:00,Kentucky,40,(24) Louisville,44
2014-11-29 00:00:00,Connecticut,10,Memphis,41
2014-11-29 00:00:00,(10) Michigan State,34,Penn State,10
2014-11-29 00:00:00,(4) Mississippi State,17,(18) Mississippi,31
2014-11-29 00:00:00,Nevada,49,Nevada-Las Vegas,27
2014-11-29 00:00:00,Wyoming,30,New Mexico,36
2014-11-29 00:00:00,North Carolina State,35,North Carolina,7
2014-11-29 00:00:00,Michigan,28,(7) Ohio State,42
2014-11-29 00:00:00,Old Dominion,31,Florida Atlantic,28
2014-11-29 00:00:00,(3) Oregon,47,Oregon State,19
2014-11-29 00:00:00,Pittsburgh,35,Miami (FL),23
2014-11-29 00:00:00,Rutgers,41,Maryland,38
2014-11-29 00:00:00,San Jose State,7,San Diego State,38
2014-11-29 00:00:00,Notre Dame,14,Southern California,49
2014-11-29 00:00:00,Tennessee,24,Vanderbilt,17
2014-11-29 00:00:00,Texas State,54,Georgia State,31
2014-11-29 00:00:00,Middle Tennessee State,21,Texas-El Paso,24
2014-11-29 00:00:00,North Texas,27,Texas-San Antonio,34
2014-11-29 00:00:00,Utah,38,Colorado,34
2014-11-29 00:00:00,Washington,31,Washington State,13
2014-11-29 00:00:00,West Virginia,37,Iowa State,24
2014-11-29 00:00:00,(22) Minnesota,24,(14) Wisconsin,34
2014-12-04 00:00:00,Central Florida,32,East Carolina,30
2014-12-05 00:00:00,Bowling Green State,17,Northern Illinois,51
2014-12-05 00:00:00,(8) Arizona,13,(3) Oregon,51
2014-12-06 00:00:00,(14) Missouri,13,(1) Alabama,42
2014-12-06 00:00:00,(9) Kansas State,27,(5) Baylor,38
2014-12-06 00:00:00,Fresno State,14,(22) Boise State,28
2014-12-06 00:00:00,Houston,31,Cincinnati,38
2014-12-06 00:00:00,(12) Georgia Tech,35,(2) Florida State,37
2014-12-06 00:00:00,Louisiana Tech,23,Marshall,26
2014-12-06 00:00:00,(11) Wisconsin,0,(6) Ohio State,59
2014-12-06 00:00:00,Oklahoma State,38,(18) Oklahoma,35
2014-12-06 00:00:00,Southern Methodist,27,Connecticut,20
2014-12-06 00:00:00,Temple,10,Tulane,3
2014-12-06 00:00:00,Iowa State,3,(4) Texas Christian,55
2014-12-13 00:00:00,Army,10,Navy,17
2014-12-20 00:00:00,Western Michigan,24,Air Force,38
2014-12-20 00:00:00,South Alabama,28,Bowling Green State,33
2014-12-20 00:00:00,Nevada,3,Louisiana-Lafayette,16
2014-12-20 00:00:00,Colorado State,10,(23) Utah,45
2014-12-20 00:00:00,Texas-El Paso,6,Utah State,21
